sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_species_fraction_colu,aim_species_fraction_arab,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin2_year,cohort_admin2_month,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AA0127-C,Takoradi_C10,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-73.59793,1.8810674,2.7564793,-2.888383,23.432959,-0.20293516,-91.94332,6.297153,-52.663986,16.414486
AA0069-C,Koforidua_F2,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.019,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,155.03459,-214.68703,-326.00732,-205.42552,11.57222,17.668974,1.0179256,8.224964,1.5576056,0.40125254
AA0049-C,Madina_E3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-72.760315,4.7249227,0.6006418,-3.81086,11.725931,9.28366,-7.9975033,-3.1665816,77.39657,26.58331
AA0133-C,Madina_B5,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.021,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,115.08015,-18.95819,3.6086714,57.288013,-9.786237,-61.17268,-38.468163,-102.96634,-14.001918,-99.501175
AA0110-C,Madina_B6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-85.135605,1.6615609,0.84562933,-28.312794,-271.87692,3.7795854,-7.561529,2.5946774,-8.400283,-29.719519
AA0099-C,Twifo_Praso__A2,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-73.63497,2.0035734,-0.3397329,-1.3368484,25.669027,1.3465155,-7.8674936,17.156204,-30.76469,6.0646353
AA0111-C,Twifo_Praso__B2,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.978,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-73.70232,3.3993437,0.6333188,0.9183182,20.627872,4.7945733,-24.93646,7.431267,4.844283,47.632435
AA0090-C,Takoradi_D8,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.978,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-70.97185,-1.773229,2.2355678,-4.1840925,17.746078,-3.0311282,31.235777,-10.9872265,44.742146,-25.878206
AA0067-C,Takoradi_C9,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-73.46021,2.8463116,-1.1361815,-5.5547953,31.154663,11.913862,39.959003,-8.242601,27.675167,-42.071285
AA0117-C,Koforidua_E3,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.03,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,115.25457,1.580399,-3.3795178,58.444393,-9.024155,-51.197655,10.729046,82.4763,30.459734,32.162323
AA0131-C,Koforidua_F6,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.024,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,109.69696,11.000772,-14.537904,45.126225,-4.319812,74.29072,2.5910568,-15.334489,-17.120928,-0.003700803
AA0096-C,Madina_H2,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.027000000000000003,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,127.456696,20.993328,-4.4956207,64.90227,-11.70629,-9.587531,-0.8561581,120.678696,19.996876,18.933283
AA0053-C,Twifo_Praso__A4,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-71.48918,4.6881957,0.8334856,-1.9575689,19.21472,4.6506023,-43.830086,7.139127,7.9751267,11.616334
AA0102-C,Takoradi_E8,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.965,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-72.01313,1.8411069,-1.7435533,-7.005522,-0.82985973,-0.6239984,29.938639,-9.098705,45.78589,29.120752
AA0130-C,Koforidua_C5,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.021,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,116.75166,-13.042044,1.5312287,43.72041,-3.6530237,-11.411368,7.003481,-51.58077,7.69776,70.554344
AA0132-C,Madina_D3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.966,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-73.494194,0.6407961,2.6979105,-7.541558,13.344023,-6.292773,99.54057,-16.722992,18.075647,-48.67636
AA0085-C,Madina_A4,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.026000000000000002,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,133.00647,12.404516,-3.5848427,73.69178,-12.727008,-66.14983,20.900747,183.81113,42.390385,32.80619
AA0048-C,Madina_A1,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.022000000000000002,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,132.24635,-8.553883,17.676716,51.859726,-9.1487255,-45.100925,4.640873,68.20589,26.607506,49.40555
AA0056-C,Takoradi_G10,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.971,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-69.91577,-0.30369285,1.9410093,-5.9869576,14.739226,9.54542,5.784705,-3.5922053,40.244225,-45.487198
AA0068-C,Takoradi_H10,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-75.0709,2.0586607,0.1863905,-4.0937424,32.95963,-3.2134123,-93.6513,16.238575,15.093654,8.993331
AA0058-C,Koforidua_A4,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.025,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,108.639496,-17.690939,-2.8418825,52.724533,-3.7091818,-40.09441,-4.1535983,-8.227842,-6.8909464,27.15677
AA0073-C,Madina_H3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.966,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-73.5364,0.07247448,-0.8686503,-5.3394904,4.1193595,-3.3832216,50.949245,-17.917856,24.25731,30.37899
AA0062-C,Madina_F5,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.024,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,128.64851,-18.83864,13.815206,53.15342,-1.7883757,-47.697636,-41.59986,-120.16856,-26.000637,-87.32379
AA0074-C,Madina_G5,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-70.90727,1.7847133,-2.8193142,-4.4071674,-0.16173883,-12.329674,90.69142,-22.376606,44.505383,72.679276
AA0138-C,Madina_E6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.975,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-70.528206,1.4856411,2.0542042,-5.463941,2.34583,-13.509164,32.767166,8.761097,-13.862029,11.068678
AA0091-C,Takoradi_G9,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.96,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-70.42989,-0.47422066,0.94537145,-2.398268,30.332426,1.3911802,-2.4990637,1.1332421,-18.123209,-7.099175
AA0081-C,Koforidua_G2,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.02,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,112.59903,-17.209185,19.730114,42.342255,-6.6889076,-53.422897,25.152927,138.74123,-6.457383,-59.591087
AA0082-C,Koforidua_D4,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.065,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,154.4082,248.38048,-11.213705,-134.77669,11.345745,6.8406267,4.267827,35.510704,1.5388755,-11.401722
AA0109-C,Madina_F4,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.9670000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-70.624275,-0.86466193,1.3959321,-6.85944,-11.14764,-1.7764348,78.34536,-30.346119,8.119671,98.40855
AA0122-C,Madina_C6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.016,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,127.70646,4.03401,-11.606984,59.642212,-9.087561,-13.246187,14.915196,36.688953,7.327449,-42.288277
AA0137-C,Koforidua_G6,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.03,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,115.567665,-7.2630744,0.5203045,69.946945,-3.7417643,25.447115,12.567471,21.942772,-16.385588,-72.92009
AA0140-C,Madina_G6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.975,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-88.92702,3.0640807,3.9044673,-37.309017,-371.63168,0.8350118,-43.694748,2.1017876,0.0130074,-10.212349
AA0079-C,Takoradi_F9,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-71.46416,-0.30457988,-0.30029583,-4.8994308,25.00958,8.321332,-34.910263,-3.3180728,-43.71901,60.768265
AA0080-C,Takoradi_A11,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.97,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-78.99552,0.47594628,3.9137115,-3.9912157,25.9851,-2.304615,75.05426,-40.223827,170.68811,-127.55189
AA0086-C,Madina_H5,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.031,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,127.99393,-6.0579166,-7.916284,68.57349,-5.79084,-81.60739,-50.091507,-145.54109,-28.116076,-104.5493
AA0136-C,Takoradi_A12,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.965,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-66.792755,0.49226123,2.3566742,-0.8724232,14.82302,-5.771816,-41.261578,6.7932477,-27.744846,-7.1154428
AA0139-C,Madina_F6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.975,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-70.45206,2.8136818,0.9811505,-4.440149,10.880178,-3.9567673,33.043682,-0.42566466,-30.805447,48.30589
AA0057-C,Koforidua_D2,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.027000000000000003,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,155.17285,-215.25003,-327.6773,-206.52371,11.652018,17.999767,0.5013558,8.154042,1.4165488,0.8253601
AA0135-C,Twifo_Praso__C5,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.966,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-69.11449,0.23616637,-2.7418253,-3.1590872,23.885374,0.57421666,9.412366,8.383225,-30.6921,-17.377003
AA0124-C,Twifo_Praso__G3,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-71.833176,2.9122162,-2.1647115,-3.8918629,18.691675,-5.2159266,73.867676,20.191769,-240.09517,-57.156578
AA0045-C,Koforidua_A2,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.035,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,120.11466,-8.072827,-14.644064,72.97446,-13.695808,-12.838497,14.326883,79.83006,-6.7113934,-24.445066
AA0072-C,Madina_F1,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.02,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,133.45384,-5.2133784,28.88296,58.031303,-6.03302,20.68931,-12.255832,-132.20122,-19.191628,21.667595
AA0108-C,Madina_A3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.068,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,79.081764,-0.33486268,7.542308,57.78656,1.6852175,-23.16027,7.023152,31.88212,31.72378,32.408623
