sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_species_fraction_colu,aim_species_fraction_arab,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin2_year,cohort_admin2_month,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AA0065-C,Twifo_Praso__B4,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.975,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-66.15499,4.674165,4.1431246,-5.618066,16.0762,4.5284505,-20.864792,28.305546,-33.236446,-19.280996
AA0125-C,Twifo_Praso__A5,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.972,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-66.19359,1.8838825,-1.7596599,0.23786983,31.193478,-11.66002,-38.776627,1.6423918,-23.044168,1.9132092
AA0104-C,Takoradi_E11,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.97,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-71.46593,0.27820995,-1.111801,-5.3651843,22.186386,10.491267,-88.38767,7.896923,16.597942,13.61463
AA0119-C,Koforidua_E6,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.02,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,105.52892,-8.145731,-9.594286,84.32754,-8.7352495,-28.732473,-9.4955635,87.159134,1.8221132,3.2612884
AA0061-C,Madina_F3,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.028999999999999998,0.002,gamb_colu,gambiae,gambiae,GHA,Greater Accra,GH-AA,Ga East,gambiae,GH-AA_gamb_2012,GH-AA_gamb_2012_11,GH-AA_Ga-East_gamb_2012,GH-AA_Ga-East_gamb_2012_11,123.334045,-14.174389,-2.4263215,91.02947,-10.005791,290.6305,1.87686,-8.814329,12.245482,40.21097
AA0098-C,Madina_A6,David Weetman,Ghana,Madina_West,2012,11,5.667999999999999,-0.21899999999999997,F,AG1000G-GH,3.0,0.976,0.002,gamb_colu,coluzzii,coluzzii,GHA,Greater Accra,GH-AA,Ga East,coluzzii,GH-AA_colu_2012,GH-AA_colu_2012_11,GH-AA_Ga-East_colu_2012,GH-AA_Ga-East_colu_2012_11,-88.892235,4.1251807,2.5884833,-33.426327,-332.16983,0.6209613,-35.7755,-0.8776566,4.927628,10.364637
AA0112-C,Twifo_Praso__F3,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.961,0.003,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-69.78458,0.19752538,2.7173316,-4.1840262,18.38417,2.748974,-9.837588,9.633911,-28.466421,-46.308243
AA0089-C,Twifo_Praso__D4,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.963,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-71.05286,4.3761687,-1.5146291,-3.8561778,17.751953,10.232287,-3.8991194,-5.1134853,19.18876,-47.55601
AA0101-C,Twifo_Praso__E4,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.961,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-71.25532,2.9170291,-0.59503704,-3.210397,26.115187,2.997085,-72.20772,4.657386,-26.21952,43.44176
AA0113-C,Twifo_Praso__H4,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.9640000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-73.23309,1.6382557,5.046925,-5.5507097,24.878273,2.3112001,2.4675565,7.493644,-13.614361,-22.191656
