sample_id,taxon
VBS46136-6296STDY10244692,dirus
VBS46137-6296STDY10244693,dirus
VBS46138-6296STDY10244694,dirus
VBS46139-6296STDY10244695,dirus
VBS46140-6296STDY10244696,dirus
VBS46142-6296STDY10244698,dirus
VBS46143-6296STDY10244699,dirus
VBS46144-6296STDY10244700,dirus
VBS46147-6296STDY10244703,dirus
VBS46148-6296STDY10244704,dirus
VBS46149-6296STDY10244705,dirus
VBS46150-6296STDY10244706,dirus
VBS46151-6296STDY10244707,dirus
VBS46152-6296STDY10244708,dirus
VBS46153-6296STDY10244709,dirus
VBS46155-6296STDY10244711,dirus
VBS46156-6296STDY10244712,dirus
VBS46157-6296STDY10244713,dirus
VBS46158-6296STDY10244714,dirus
VBS46160-6296STDY10244716,dirus
VBS46161-6296STDY10244717,dirus
VBS46162-6296STDY10244718,dirus
VBS46163-6296STDY10244721,dirus
VBS46164-6296STDY10244722,dirus
VBS46165-6296STDY10244723,dirus
VBS46166-6296STDY10244724,dirus
VBS46170-6296STDY10244727,dirus
VBS46171-6296STDY10244728,dirus
VBS46174-6296STDY10244731,dirus
VBS46176-6296STDY10244733,dirus
VBS46177-6296STDY10244734,dirus
VBS46178-6296STDY10244735,dirus
VBS46179-6296STDY10244736,dirus
VBS46181-6296STDY10244738,dirus
VBS46182-6296STDY10244739,dirus
VBS46184-6296STDY10244741,dirus
VBS46185-6296STDY10244742,dirus
VBS46186-6296STDY10244743,dirus
VBS46193-6296STDY10244749,dirus
VBS46194-6296STDY10244750,dirus
VBS46195-6296STDY10244751,dirus
VBS46196-6296STDY10244752,dirus
VBS46197-6296STDY10244753,dirus
VBS46199-6296STDY10244755,dirus
VBS46200-6296STDY10244756,dirus
VBS46201-6296STDY10244757,dirus
VBS46202-6296STDY10244758,dirus
VBS46203-6296STDY10244759,dirus
VBS46204-6296STDY10244760,dirus
VBS46205-6296STDY10244761,dirus
VBS46206-6296STDY10244762,dirus
VBS46207-6296STDY10244763,dirus
