sample_id,country_ISO,adm1_name,adm1_ISO,adm2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter
VBS45984-6296STDY10244538,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_04,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_04,TH-84_Phanom_diru_2019_Q2
VBS45985-6296STDY10244539,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_04,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_04,TH-84_Phanom_diru_2019_Q2
VBS45986-6296STDY10244540,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_04,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_04,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS45987-6296STDY10244541,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_04,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_04,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS45988-6296STDY10244542,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45989-6296STDY10244543,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45991-6296STDY10244545,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45992-6296STDY10244546,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45993-6296STDY10244547,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45994-6296STDY10244548,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45995-6296STDY10244549,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45996-6296STDY10244550,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45997-6296STDY10244551,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45998-6296STDY10244552,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS45999-6296STDY10244553,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46000-6296STDY10244554,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
