sample_id,run_ena,analysis_ena
VBS46299-6321STDY9453299,,
VBS46300-6321STDY9453300,,
VBS46301-6321STDY9453301,,
VBS46302-6321STDY9453302,,
VBS46303-6321STDY9453303,,
VBS46304-6321STDY9453304,,
VBS46305-6321STDY9453305,,
VBS46306-6321STDY9453306,,
VBS46307-6321STDY9453307,,
VBS46308-6321STDY9453308,,
VBS46309-6321STDY9453309,,
VBS46310-6321STDY9453310,,
VBS46311-6321STDY9453311,,
VBS46312-6321STDY9453312,,
VBS46313-6321STDY9453313,,
VBS46314-6321STDY9453314,,
VBS46315-6321STDY9453315,,
VBS46316-6321STDY9453316,,
VBS46317-6321STDY9453317,,
VBS46318-6321STDY9453318,,
VBS46319-6321STDY9453319,,
VBS46320-6321STDY9453320,,
VBS46321-6321STDY9453321,,
VBS46322-6321STDY9453322,,
VBS46323-6321STDY9453323,,
VBS46324-6321STDY9453324,,
VBS46325-6321STDY9453325,,
VBS46326-6321STDY9453326,,
VBS46327-6321STDY9453327,,
VBS46328-6321STDY9453328,,
VBS46329-6321STDY9453329,,
VBS46330-6321STDY9453330,,
VBS46331-6321STDY9453331,,
VBS46332-6321STDY9453332,,
VBS46333-6321STDY9453333,,
VBS46334-6321STDY9453334,,
VBS46335-6321STDY9453335,,
VBS46336-6321STDY9453336,,
VBS46337-6321STDY9453337,,
VBS46338-6321STDY9453338,,
VBS46339-6321STDY9453339,,
VBS46340-6321STDY9453340,,
VBS46341-6321STDY9453341,,
VBS46342-6321STDY9453342,,
VBS46343-6321STDY9453343,,
VBS46344-6321STDY9453344,,
VBS46345-6321STDY9453345,,
